snp chr pos maf n_HDL beta_HDL se_HDL n_LDL beta_LDL se_LDL n_TC beta_TC se_TC n_TG beta_TG se_TG annot gene rs Z.tg Z.tc Z.ldl Z.hdl mvstat mvp unip
rs1559401 16 70568682 0.22 98409 0.007552 0.005483 93999 0.0307 0.005983 98656 0.03152 0.005845 95070 0.008685 0.005402 2 HPR_TC:LDL rs1559401 1.637 4.946 4.685 0.973 26.2639918413393 4.55294986132311 6.12059466760093
rs1559551 2 118323387 0.08 99892 -0.01285 0.008552 95446 0.04801 0.009304 100176 0.04235 0.009162 96590 0.004482 0.008364 0 n.a. rs1559551 -0.867 -4.601 -5.23 2.028 34.3394299224525 6.19736434917823 6.77080457437467
rs1559876 6 32323747 0.386 99900 0.003781 0.004716 95454 -0.003274 0.005121 100184 -0.01092 0.005042 96598 -0.02553 0.004624 2 HLA_TC:LDL rs1559876 5.054 2.175 0.783 -0.922 27.2199412292509 4.74608579436869 6.36386168014249
rs1560389 15 56437363 0.465 98409 0.0287 0.004647 93999 0.007575 0.005065 98656 0.01871 0.004978 95070 0.0108 0.00457 2 LIPC_HDL:TC:TG rs1560389 2.384 3.411 1.116 5.917 60.0117741727886 11.5399470250957 8.48430269909332
rs1560390 15 56368073 0.22 98409 0.05415 0.005565 93999 0.01 0.006069 98656 0.02853 0.005936 95070 0.01181 0.005458 2 LIPC_HDL:TC:TG rs1560390 2.291 4.474 1.199 9.119 121.437650515119 24.579433105801 19.1202123001579
rs1560711 19 10603287 0.213 98409 -0.01599 0.005643 93999 0.0438 0.006111 98656 0.03313 0.006018 95070 0.005619 0.005547 2 LDLR_LDL:TC rs1560711 0.523 5.463 6.933 -2.407 55.4229738768848 10.5768901779551 11.385094134661
rs1561138 16 55409812 0.187 98409 0.03419 0.005808 93999 -0.007015 0.006294 98656 0.001557 0.006187 95070 -0.01897 0.005622 2 CETP_HDL:TC:LDL:TG rs1561138 2.865 -0.142 1.291 -5.823 35.0457002216186 6.34236929796593 8.23806798908107
rs1561139 16 55410323 0.421 98409 0.04409 0.004606 93999 0.0007744 0.004993 98656 0.01528 0.00491 95070 -0.007783 0.004506 2 CETP_HDL:TC:LDL:TG rs1561139 -2.015 3.105 0.2 9.301 90.0089440691241 17.8823938146472 19.8565764295079
rs1561141 16 55426931 0.177 98409 0.03024 0.00604 93999 -0.004187 0.006576 98656 0.003372 0.006456 95070 -0.01534 0.00583 2 CETP_HDL:TC:LDL:TG rs1561141 2.353 -0.438 0.866 -5.107 26.5486638611109 4.61041331691495 6.48503575199163
rs1561277 2 135808531 0.315 95708 -0.01288 0.005207 91285 -0.02704 0.005618 95992 -0.02889 0.005523 92410 -0.0001902 0.005203 2 RAB3GAP1_TC rs1561277 0.244 5.101 4.503 2.644 30.9368949664121 5.50120872636393 6.47125864249191
rs1561458 15 42001461 0.047 98409 -0.05494 0.01124 93999 0.000959 0.01215 98656 0.009943 0.01195 95070 0.08167 0.01104 2 FRMD5_TG rs1561458 6.427 0.296 -0.379 -4.388 48.8151083898163 9.19510324299117 9.88556643411967
rs1561535 2 27324529 0.281 99892 0.004491 0.005064 95446 -0.002525 0.00547 100176 0.01491 0.005389 96590 0.04362 0.004936 2 GCKR_TG:TC rs1561535 -8.337 -2.938 0.127 -0.777 89.4825090022225 17.7705718718532 16.1180503756017
rs1561536 2 27307301 0.05 99892 -0.003434 0.0108 95446 0.01063 0.01173 100176 0.03396 0.01154 96590 0.08256 0.01022 2 GCKR_TG:TC rs1561536 7.198 2.984 1.011 -0.333 58.0945887403151 11.1372742874328 12.2139435459549
rs1562398 7 130108471 0.42 99900 -0.03503 0.00486 95454 0.008485 0.005265 100184 0.005689 0.005145 96598 0.02679 0.004762 2 KLF14_HDL rs1562398 -5.121 -0.593 -1.269 7.366 62.9478767691414 12.1574228018583 12.7549222850828
rs1564348 6 160498850 0.164 99884 0.01302 0.006229 95439 -0.06178 0.006743 100168 -0.05991 0.00664 96582 -0.01587 0.006033 1 LPA_LDL:TC rs1564348 -2.258 -8.308 -8.512 1.821 84.9772348218075 16.814196484449 16.7671091016873
rs1565326 2 28410584 0.096 99763 0.028 0.007863 95318 -0.009105 0.008475 100044 -0.01671 0.008353 96458 -0.04221 0.007692 2 GCKR_TG:TC rs1565326 -4.929 -1.901 -1.161 3.382 29.6717348617335 5.24349350205168 6.08274886856747
rs1565922 17 35084561 0.303 98409 0.0346 0.004993 93999 0.008993 0.005429 98656 0.01786 0.005303 95070 -0.01119 0.004898 2 STARD3_HDL rs1565922 1.863 -3.262 -1.659 -6.515 47.5946215930582 8.94063617778958 10.1385273727124
rs1565923 17 35112204 0.305 98409 0.03308 0.00505 93999 0.007933 0.005439 98656 0.01779 0.005348 95070 -0.008983 0.004958 2 STARD3_HDL rs1565923 1.352 -3.26 -1.444 -6.07 41.9917451167456 7.77605040008178 8.89309465216248
rs1566439 16 55582163 0.412 98342 -0.02514 0.004637 93933 0.00742 0.005026 98585 -0.003398 0.00494 94999 0.01046 0.004541 2 CETP_HDL:TC:LDL:TG rs1566439 1.791 -0.401 1.73 -5.58 34.1641824855947 6.16140930973832 7.61885136054279
rs1566728 11 48121423 0.166 99889 0.03355 0.006115 95444 -0.002015 0.006594 100172 0.01455 0.006473 96587 -0.002859 0.005924 0 n.a. rs1566728 0.392 -2.286 0.043 -5.559 35.7465080710267 6.4864088156959 7.566510672411
rs1566729 11 48121297 0.166 99900 0.03402 0.006073 95454 -0.002074 0.00655 100184 0.01374 0.006427 96598 -0.004031 0.005897 0 n.a. rs1566729 -0.61 2.174 -0.056 5.633 35.5258373965572 6.44103717643092 7.75177786271673
rs1569209 8 19874450 0.097 92040 -0.1658 0.008307 87724 0.003494 0.009053 92326 -0.001294 0.008926 88738 0.1687 0.008165 2 LPL_TG:HDL rs1569209 20.552 -0.469 -0.171 -18.801 586.094308927248 124.800345139973 93.1316093042972
rs1569364 8 116698907 0.413 99900 -0.02796 0.004674 95454 0.01323 0.005091 100184 -0.002624 0.005011 96598 0.003248 0.004585 2 TRPS1_HDL rs1569364 -0.517 0.668 -2.408 6.354 51.4378678788352 9.74277196411954 9.67822177161188
rs1569933 6 160991202 0.372 98147 -0.01088 0.004749 93704 0.02818 0.005178 98430 0.02333 0.005061 94844 0.006316 0.004636 2 LPA_LDL:TC rs1569933 1.146 4.441 5.196 -2.159 32.6418197918651 5.84951040495848 6.6911747515851
rs1570694 1 62875805 0.318 96908 0.01509 0.004792 92503 0.04946 0.005205 97148 0.07386 0.005128 93562 0.06492 0.004701 2 ANGPTL3_TG:TC:LDL rs1570694 13.285 13.409 8.7 3.037 301.280745403289 63.241467773009 40.2711911338305
rs1570837 1 92779404 0.211 96908 0.0004785 0.005592 92503 0.03085 0.006051 97148 0.03398 0.005952 93562 0.008833 0.005504 2 EVI5_TC rs1570837 -1.555 -5.451 -4.99 0.011 31.1467265463275 5.54401508440485 7.30027176838893
rs1572343 1 93388790 0.339 99900 -0.02251 0.004753 95454 -0.01308 0.005154 100184 -0.01717 0.005075 96598 0.008544 0.004659 2 EVI5_TC rs1572343 -1.737 3.583 2.727 4.868 33.9631350939239 6.12017353095188 5.94794766321506
rs1573296 6 30235784 0.1 99900 0.02395 0.007472 95454 0.01475 0.008204 100184 0.03451 0.008081 96598 0.02968 0.00753 0 n.a. rs1573296 3.659 3.788 1.642 3.029 37.1588865881752 6.77714936018884 3.81854273562712
rs157580 19 50087106 0.386 92824 -0.0314 0.005564 88446 0.1171 0.005943 93071 0.1041 0.005816 89489 0.04351 0.005272 2 APOE_LDL:TC:HDL rs157580 8.066 17.539 19.036 -5.162 401.300355487484 84.836666377863 80.0663187944955
rs157582 19 50088059 0.208 27189 0.04133 0.01271 23556 -0.06191 0.01434 27216 -0.06929 0.01334 23773 -0.04729 0.01034 2 APOE_LDL:TC:HDL rs157582 5.367 5.625 4.731 -3.024 53.4531876574851 10.1643156994758 7.73163741602227
rs1577317 10 5262499 0.146 99900 0.01217 0.006314 95454 0.00692 0.007011 100184 0.02176 0.006864 96598 0.03025 0.006209 0 n.a. rs1577317 -4.821 -3.07 -1.049 -1.761 37.831755064439 6.91586178557587 5.84514907198853
rs1581675 8 19902779 0.274 99900 -0.1105 0.005285 95454 0.01172 0.005701 100184 0.01176 0.005618 96598 0.1176 0.005157 2 LPL_TG:HDL rs1581675 -22.267 -1.499 -1.422 19.792 661.095572695852 141.034533483645 109.112383804253
rs1582824 8 59609008 0.413 99894 -0.0008024 0.004604 95448 0.02084 0.004972 100177 0.02645 0.004887 96591 0.01383 0.004511 2 CYP7A1_TC:LDL rs1582824 -3.018 -4.995 -3.713 -0.26 27.6473553323999 4.83259096715269 6.23035857754472
rs1583097 2 21248974 0.197 36307 -0.005133 0.008506 35721 0.1231 0.009639 36518 0.1067 0.009598 36375 0.008106 0.009145 0 n.a. rs1583097 0.798 10.458 12.055 -0.992 151.3403318107 30.9785090943768 32.7386598089577
rs158481 16 55632754 0.277 98383 0.03026 0.005301 93973 -0.00474 0.005828 98629 0.004963 0.005722 95043 -0.008996 0.005288 2 CETP_HDL:TC:LDL:TG rs158481 1.675 -0.717 0.878 -5.511 30.7797589468968 5.46916397257166 7.44757427378803
rs1588069 11 48651447 0.183 99900 0.031 0.005751 95454 -0.001538 0.006229 100184 0.01339 0.006121 96598 -0.0006823 0.005585 0 n.a. rs1588069 0.025 -2.44 -0.25 -5.4 34.6070423752365 6.25228912297727 7.17625916605997
rs1593512 1 93630962 0.353 99900 -0.02209 0.00476 95454 -0.01279 0.005167 100184 -0.01749 0.005079 96598 0.00791 0.004665 2 EVI5_TC rs1593512 1.729 -3.658 -2.712 -4.828 33.7908022286077 6.08483803620796 5.86040079735712
rs1594288 2 21238666 0.196 39299 -0.004824 0.008543 38672 0.1249 0.009701 39554 0.1089 0.009649 39411 0.009041 0.009192 0 n.a. rs1594288 -1.353 -11.301 -12.785 1.188 169.987882028881 34.9779317251047 36.7014464313789
rs1594289 2 21238654 0.196 39299 -0.004794 0.008543 38672 0.1249 0.009701 39554 0.1089 0.009649 39411 0.009042 0.009192 0 n.a. rs1594289 -1.352 -11.302 -12.785 1.188 170.005140119141 34.9816356947805 36.7014464313789
rs1594895 19 49572200 0.199 98408 -0.00457 0.00575 93998 0.03397 0.006238 98655 0.02921 0.006138 95069 0.008888 0.005625 2 APOE_LDL:TC:HDL rs1594895 1.495 4.662 5.189 -0.987 28.1036796986028 4.92504691833538 6.67484079177519
rs1596972 7 130103922 0.432 99900 -0.03335 0.004755 95454 0.007988 0.005112 100184 0.005139 0.005027 96598 0.02494 0.004651 2 KLF14_HDL rs1596972 -5.027 -0.575 -1.309 7.268 60.8693928484877 11.7202114448756 12.4378870875675
rs1600073 5 74472493 0.355 99900 0.006604 0.004708 95454 0.04776 0.005087 100184 0.04552 0.005011 96598 -8.614e-05 0.00462 2 HMGCR_TC:LDL rs1600073 -0.427 8.654 8.889 1.148 93.2070771352377 18.5620204002594 18.2099871180584
rs1600074 5 74472330 0.356 99900 0.006755 0.004699 95454 0.04692 0.005087 100184 0.04473 0.005011 96598 -0.0004255 0.004619 2 HMGCR_TC:LDL rs1600074 -0.498 8.503 8.737 1.186 90.4641034889524 17.9790873102527 17.620907626571
rs1610095 19 10765689 0.375 98409 -0.01943 0.004942 93999 0.05696 0.005342 98656 0.04793 0.005261 95070 0.01434 0.004835 2 LDLR_LDL:TC rs1610095 -2.705 -8.895 -10.292 3.923 122.808995454428 24.8724186349202 24.1159460090797
rs1616661 19 59511278 0.297 96769 -0.03558 0.005167 92364 0.002157 0.005647 97017 -0.01441 0.005558 93431 0.003253 0.005093 2 LILRA3_HDL rs1616661 -0.444 2.576 -0.301 6.504 49.8206729957243 9.40494863016442 10.1067271842273
rs1619021 17 34992800 0.276 98409 0.03871 0.005203 93999 0.009717 0.005628 98656 0.0232 0.005541 95070 -0.004153 0.005129 2 STARD3_HDL rs1619021 -0.312 3.791 1.267 7.063 59.0979115869391 11.3479520770745 11.7879570348818
rs1627591 1 62762395 0.321 99900 0.01481 0.004796 95454 0.0484 0.005208 100184 0.07237 0.005118 96598 0.0646 0.004704 2 ANGPTL3_TG:TC:LDL rs1627591 13.509 13.094 8.387 3.028 302.202216711739 63.440245189665 40.8589002054781
rs1632855 6 31079748 0.167 99900 0.01949 0.006288 95454 0.01321 0.006868 100184 0.02999 0.006764 96598 0.02379 0.006207 2 HLA_TG rs1632855 3.841 4.029 1.635 3.339 42.7827643294704 7.94007833209561 4.25169861879161
rs1634714 6 31059540 0.169 99150 0.02066 0.006279 94704 0.01147 0.006841 99434 0.02745 0.006739 95848 0.02198 0.006189 2 HLA_TG rs1634714 3.497 3.651 1.364 3.604 40.852039247934 7.539966111592 3.58299151331851
rs1634721 6 31085659 0.121 95716 0.02299 0.007141 91293 0.02477 0.007867 96000 0.04795 0.007735 92418 0.04007 0.007147 2 HLA_TG rs1634721 -5.665 -5.678 -2.815 -3.283 70.7436810929163 13.8010298856088 7.86557197034245
rs1634726 6 31093807 0.125 94841 0.0196 0.007217 90533 0.02212 0.007962 95123 0.04438 0.00781 91537 0.03899 0.007204 2 HLA_TG rs1634726 -5.449 -5.177 -2.464 -2.665 59.5742850821357 11.4480222548189 7.29538785397897
rs1645781 19 59519976 0.291 98409 -0.03802 0.005352 93999 0.004394 0.005781 98656 -0.01292 0.005685 95070 0.004765 0.00522 2 LILRA3_HDL rs1645781 -0.855 2.406 -0.437 6.835 52.634361298718 9.99297046059524 11.0861595145308
rs1645782 19 59519292 0.291 98409 -0.03642 0.005377 93999 0.004794 0.005809 98656 -0.0121 0.005714 95070 0.004244 0.005236 2 LILRA3_HDL rs1645782 -0.731 2.293 -0.512 6.538 48.8743595153292 9.20746336299466 10.2051849638833
rs1645783 19 59519213 0.291 98409 -0.03638 0.005354 93999 0.004214 0.00578 98656 -0.01237 0.005689 95070 0.004456 0.005211 2 LILRA3_HDL rs1645783 0.793 -2.338 0.432 -6.567 48.9214973063917 9.21729699371389 10.2895521983159
rs1645784 19 59518852 0.127 93516 -0.06547 0.009991 89138 0.009733 0.011 93618 -0.02366 0.01079 90032 0.01071 0.009806 2 LILRA3_HDL rs1645784 0.665 -2.388 0.64 -6.558 51.1467189939986 9.68192245036716 10.263330979757
rs1647266 2 27546989 0.386 99892 0.003595 0.004649 95446 -0.002669 0.005036 100176 -0.02256 0.004962 96590 -0.05736 0.004555 2 GCKR_TG:TC rs1647266 12.29 4.146 0.371 -1.026 169.848260775228 34.947966062306 33.989250575897
rs1647276 2 27542105 0.386 99892 0.003567 0.004651 95446 -0.00281 0.005038 100176 -0.0227 0.004964 96590 -0.05754 0.004557 2 GCKR_TG:TC rs1647276 -12.31 -4.16 -0.386 1.02 170.367838919632 35.0594799273061 34.0967841474818
rs1647284 2 27461619 0.387 99892 0.004107 0.004654 95446 -0.002458 0.005043 100176 -0.02294 0.004969 96590 -0.05814 0.004569 2 GCKR_TG:TC rs1647284 -12.33 -4.188 -0.361 1.099 170.831840311513 35.1590690316642 34.2044903335313
rs1651663 16 55600413 0.324 98409 0.02809 0.005444 93999 -0.009679 0.005924 98656 -0.001967 0.0058 95070 -0.01346 0.005284 2 CETP_HDL:TC:LDL:TG rs1651663 -2.201 -0.457 -1.88 5.041 27.6349591213052 4.83008079016013 6.33432009217084
rs1652416 2 21250114 0.204 99892 0.0115 0.0056 95446 -0.1153 0.006022 100176 -0.1043 0.005931 96590 -0.01763 0.005505 2 APOB_LDL:TC rs1652416 -3.012 -17.505 -19.116 2.435 389.575873170494 82.3035400709256 80.7308983677014
rs1652417 2 21250022 0.204 96900 0.01164 0.005611 92495 -0.1153 0.006033 97140 -0.1045 0.005943 93554 -0.01783 0.005506 2 APOB_LDL:TC rs1652417 -2.769 -17.053 -18.65 2.296 370.925772549821 78.2749157046259 76.8986747503331
rs1652418 2 21241961 0.203 99892 0.01136 0.005648 95446 -0.1155 0.006076 100176 -0.1048 0.005989 96590 -0.01666 0.005546 2 APOB_LDL:TC rs1652418 -2.975 -17.491 -19.021 2.335 386.716258545222 81.6857658639718 79.9420187211149
rs1652419 2 21239154 0.201 99892 0.01168 0.005673 95446 -0.1172 0.006118 100176 -0.1066 0.006027 96590 -0.01732 0.005573 2 APOB_LDL:TC rs1652419 3.087 17.628 19.116 -2.379 391.259607456265 82.667294909232 80.7308983677014
rs1652420 2 21237386 0.205 96900 0.01103 0.005606 92495 -0.1153 0.00603 97140 -0.1046 0.005937 93554 -0.01695 0.005502 2 APOB_LDL:TC rs1652420 -2.773 -16.685 -18.103 2.103 350.482448487025 73.8601891899879 72.5203174878457
rs1652421 2 21237353 0.206 96900 0.01095 0.005576 92495 -0.1126 0.006001 97140 -0.1025 0.005915 93554 -0.01655 0.005479 2 APOB_LDL:TC rs1652421 -2.582 -16.832 -18.391 2.188 361.644315091951 76.2704184211542 74.8094082724124
rs1652507 6 161002451 0.153 99897 -0.03428 0.0064 95451 -0.0007704 0.006971 100181 -0.009229 0.006854 96595 0.01464 0.006263 2 LPA_LDL:TC rs1652507 -2.175 1.212 0.033 5.019 25.6489393337851 4.42894792973805 6.28448844017737
rs1652519 15 56399405 0.401 98407 0.03309 0.004658 93997 0.0112 0.005054 98654 0.02409 0.004977 95068 0.009909 0.004563 2 LIPC_HDL:TC:TG rs1652519 -2.495 -4.497 -1.732 -6.792 76.8663420544545 15.0954523968038 10.9562859130691
rs1659682 2 27264239 0.064 92005 0.001509 0.009921 87670 0.004206 0.01087 92291 0.02597 0.01068 88703 0.06848 0.009502 2 GCKR_TG:TC rs1659682 6.512 2.593 0.558 0.208 50.6114491201231 9.5700862685727 10.1298494908221
rs1659685 2 27274194 0.298 99892 0.005288 0.005052 95446 -0.001749 0.005463 100176 0.01741 0.005382 96590 0.04621 0.004926 2 GCKR_TG:TC rs1659685 8.85 3.379 -0.026 1.129 103.668303910456 20.7883714273668 18.0578961845041
rs1659687 2 27268561 0.064 99892 0.005059 0.009545 95446 0.007221 0.01039 100176 0.02875 0.01023 96590 0.06753 0.009175 2 GCKR_TG:TC rs1659687 -6.668 -2.864 -0.793 -0.508 54.6944335545688 10.4242349169212 10.5861760718266
rs1659689 2 27246534 0.29 99892 0.006257 0.005122 95446 -0.004796 0.005533 100176 0.01452 0.005453 96590 0.04393 0.004991 2 GCKR_TG:TC rs1659689 -8.349 -2.775 0.597 -1.248 96.0851871516345 19.1740598568864 16.162138081362
rs1659700 2 27267638 0.064 99892 0.005709 0.009566 95446 0.007737 0.01042 100176 0.03004 0.01025 96590 0.06796 0.009193 2 GCKR_TG:TC rs1659700 -6.674 -3 -0.852 -0.573 55.2426342502577 10.5390959946507 10.6039338998104
rs166357 15 56399978 0.463 90550 0.024 0.004765 86253 0.0136 0.005208 90799 0.02382 0.005117 87211 0.01186 0.004657 2 LIPC_HDL:TC:TG rs166357 2.97 4.508 2.384 4.769 52.3400752885063 9.93141269996356 5.73249349998233
rs166358 15 56468097 0.133 98409 -0.08494 0.006718 93999 0.00369 0.007287 98656 -0.03205 0.007186 95070 -0.01784 0.006586 2 LIPC_HDL:TC:TG rs166358 2.514 4.144 -0.692 11.644 189.76919184346 39.2261075840483 30.6087253276373
rs1673514 18 55988446 0.437 98409 -0.02492 0.004787 93999 -0.00816 0.005185 98656 -0.007803 0.0051 95070 0.01976 0.004681 2 MC4R_HDL rs1673514 -3.921 1.121 1.23 4.849 33.7202828891586 6.07038149949889 5.90627924055967
rs1681630 11 47925728 0.324 96893 -0.02442 0.004801 92488 -0.003482 0.005203 97133 -0.01476 0.005122 93547 0.001515 0.004697 0 n.a. rs1681630 -0.131 2.695 0.678 5.123 31.4854582059161 5.61315412909579 6.52184873628513
rs16825887 1 39415969 0.213 99843 -0.03428 0.005615 95398 0.01515 0.006115 100125 0.01114 0.005976 96539 0.02674 0.005479 2 PABPC4_HDL rs16825887 4.564 1.496 2.244 -6.059 45.8207286548833 8.57125861219499 8.86337329780395
rs16825939 1 39435095 0.211 96908 -0.03451 0.005626 92503 0.01396 0.006137 97148 0.01009 0.005999 93562 0.02601 0.005496 2 PABPC4_HDL rs16825939 4.497 1.369 1.992 -5.794 42.272601485736 7.8342737339953 8.16285708045054
rs16826012 1 39492106 0.166 99858 -0.03453 0.006289 95413 0.007181 0.006852 100142 0.007007 0.006734 96556 0.03065 0.006163 2 PABPC4_HDL rs16826012 -4.703 -0.952 -1.071 5.628 41.9411648831648 7.76556666642813 7.73918691356392
rs16826038 1 39531221 0.21 99900 -0.03322 0.005627 95454 0.01451 0.006135 100184 0.01043 0.005999 96598 0.02573 0.005503 2 PABPC4_HDL rs16826038 4.365 1.381 2.136 -5.891 42.7870357298955 7.94096443368311 8.41582085623358
rs16826068 1 39564463 0.167 99900 -0.03469 0.0063 95454 0.008066 0.006888 100184 0.006604 0.00673 96598 0.03079 0.006167 2 PABPC4_HDL rs16826068 4.715 0.914 1.163 -5.685 41.9159217643325 7.76033475601324 7.88335022395131
rs16826069 1 39569642 0.21 99900 -0.03398 0.005609 95454 0.01455 0.006105 100184 0.01032 0.005978 96598 0.02546 0.005483 2 PABPC4_HDL rs16826069 -4.345 -1.368 -2.164 6.001 43.90838860751 8.17372338719551 8.70750913876367
rs16831243 2 135478814 0.157 96895 -0.008618 0.006523 92490 -0.03623 0.00701 97135 -0.03505 0.006892 90428 -0.0001708 0.00654 2 RAB3GAP1_TC rs16831243 0.01 4.934 4.938 1.231 28.6795734435763 5.04187092354262 6.10276976712213
rs16837533 1 39476434 0.166 99900 -0.03507 0.006271 95454 0.007075 0.006856 100184 0.006608 0.006708 96598 0.03146 0.006144 2 PABPC4_HDL rs16837533 4.849 0.934 1.049 -5.757 44.0095951412057 8.19474374424266 8.06741508418674
rs16842 8 20013209 0.278 95716 0.03059 0.005152 91293 -0.003139 0.005593 96000 9.721e-05 0.005497 92418 -0.02535 0.005009 2 LPL_TG:HDL rs16842 -5.195 -0.132 -0.59 5.608 42.9994824190097 7.98504144672145 7.68892877755542
rs16858659 1 180465438 0.256 99774 0.02873 0.005157 95328 -0.01008 0.005588 100053 0.004095 0.005501 96467 -0.006136 0.005107 2 ZNF648_HDL rs16858659 1.019 -0.887 1.528 -5.555 35.3988680976936 6.41493807770864 7.55656213917271
rs16866216 1 39447175 0.279 99900 -0.02735 0.005127 95454 0.006801 0.005586 100184 0.00549 0.005485 96598 0.01779 0.005036 2 PABPC4_HDL rs16866216 3.694 0.855 1.19 -5.206 32.9594741611857 5.91452398135968 6.71454476314546
rs16870123 6 32467438 0.152 99899 -0.005526 0.006405 95453 -0.0455 0.006936 100183 -0.05082 0.006802 96597 -0.01989 0.006242 2 HLA_TC:LDL rs16870123 3.86 6.801 5.708 0.895 50.2919397321813 9.50335119864031 10.9834035878636
rs16872430 5 74482265 0.202 99900 0.004738 0.005603 95454 0.03619 0.006088 100184 0.03369 0.005991 96598 7.465e-05 0.005535 2 HMGCR_TC:LDL rs16872430 -0.73 4.939 5.476 0.34 35.286693390567 6.3918842361939 7.36146313636918
rs16872436 5 74499198 0.132 96908 -0.006527 0.006787 92503 -0.04903 0.007331 97148 -0.04839 0.007187 93562 -0.002372 0.006604 2 HMGCR_TC:LDL rs16872436 -0.167 -6.318 -6.225 -1.18 45.7517805515553 8.55691334101728 9.57680326996435
rs16872459 5 74528920 0.202 96908 0.005093 0.0056 92503 0.03607 0.006074 97148 0.03377 0.005977 93562 0.0001918 0.00553 2 HMGCR_TC:LDL rs16872459 -0.487 5.328 5.716 0.469 38.0300532849802 6.95676497153528 7.96233157031213
rs16872639 5 74954612 0.08 99900 -0.01456 0.008282 95454 -0.04836 0.009021 100184 -0.04786 0.008854 96598 0.005585 0.008372 2 HMGCR_TC:LDL rs16872639 -0.962 4.812 4.996 1.332 31.976495928593 5.71345927476982 6.23260915722014
rs16872768 5 75017963 0.374 99900 -0.01777 0.004699 95454 -0.05159 0.005101 100184 -0.05403 0.004988 96598 0.002713 0.004612 2 HMGCR_TC:LDL rs16872768 0.304 -10.041 -9.434 -3.358 117.047078511089 23.6417614137788 22.9971923883655
rs16872770 5 75020375 0.075 92059 -0.01215 0.009184 87724 -0.05357 0.009957 92345 -0.05733 0.009767 88757 -0.007239 0.00912 2 HMGCR_TC:LDL rs16872770 1.215 5.479 5.04 0.816 30.8860104835044 5.49083076525835 7.36882382772424
rs16872776 5 75023747 0.075 99900 -0.01725 0.008798 95454 -0.05528 0.009472 100184 -0.06056 0.009294 96598 -0.006831 0.008742 2 HMGCR_TC:LDL rs16872776 1.172 6.041 5.452 1.409 37.6660889558553 6.88169790836448 8.81484903028472
rs168807 5 75013706 0.21 99900 -0.009243 0.005579 95454 -0.03427 0.006075 100184 -0.03399 0.005946 96598 0.003104 0.005456 2 HMGCR_TC:LDL rs168807 -0.361 5.39 5.218 1.835 35.0836326100887 6.35016174966265 7.15207163825233
rs16894959 6 34933640 0.152 96908 0.03331 0.006434 92503 0.02554 0.00698 97148 0.03393 0.006835 93562 -0.007376 0.006353 2 C6orf106_HDL rs16894959 -0.953 5.025 3.777 5.423 48.2903930342317 9.08567057774354 7.23205056390078
rs1689785 1 180401628 0.472 99900 0.02746 0.004623 95454 -0.008541 0.005022 100184 0.001747 0.004932 96598 -0.009098 0.004525 2 ZNF648_HDL rs1689785 1.546 -0.435 1.553 -5.601 33.494312058936 6.02406868362002 7.67137836607693
rs1689789 1 180411482 0.359 99866 0.02951 0.004745 95423 -0.008187 0.005134 100149 0.00392 0.005057 96563 -0.01172 0.004657 2 ZNF648_HDL rs1689789 1.815 -0.8 1.487 -5.944 38.2888618657382 7.01016570996322 8.55572156102557
rs1689790 1 180414466 0.36 99900 0.02968 0.004741 95454 -0.008212 0.005129 100184 0.003945 0.005051 96598 -0.01168 0.004653 2 ZNF648_HDL rs1689790 -1.81 0.796 -1.509 5.99 38.8851033976645 7.13325781217336 8.67810957502756
rs1689791 1 180418532 0.337 99899 0.03117 0.004786 95453 -0.01073 0.005169 100183 0.003937 0.005093 96597 -0.01095 0.004698 2 ZNF648_HDL rs1689791 -1.555 0.858 -1.826 6.101 43.074572830176 8.00062302128309 8.97713092472827
rs1689796 1 180417859 0.336 99900 0.03099 0.004778 95454 -0.01097 0.005169 100184 0.003156 0.005085 96598 -0.01113 0.004692 2 ZNF648_HDL rs1689796 -1.581 0.721 -1.877 6.061 42.0576672922474 7.78971491006978 8.86877336382471
rs1689797 1 180417601 0.336 99900 0.03128 0.004777 95454 -0.01093 0.00516 100184 0.00339 0.005075 96598 -0.01096 0.004686 2 ZNF648_HDL rs1689797 1.546 -0.775 1.864 -6.125 42.9894660336894 7.98296309617645 9.04247121608602
rs1689800 1 180435508 0.349 99900 0.03176 0.004782 95454 -0.008279 0.005168 100184 0.005714 0.005089 96598 -0.01125 0.004699 1 ZNF648_HDL rs1689800 -1.626 1.152 -1.468 6.29 44.0873170968598 8.21088783713958 9.49830281944941
rs1689802 1 180429300 0.335 99869 0.03137 0.004794 95423 -0.01127 0.005182 100152 0.003518 0.005103 96566 -0.01072 0.004708 2 ZNF648_HDL rs1689802 1.553 -0.76 1.964 -6.123 43.8480089820111 8.16118368679816 9.0370168589721
rs1689803 1 180428452 0.351 99900 0.0297 0.004768 95454 -0.008226 0.005151 100184 0.004647 0.005071 96598 -0.01099 0.004674 2 ZNF648_HDL rs1689803 1.653 -0.958 1.48 -5.905 38.8424005588672 7.12443884863927 8.45266011380838
rs1689804 1 180388221 0.474 99900 0.02754 0.004591 95454 -0.007919 0.004988 100184 0.001794 0.004904 96598 -0.00895 0.004497 2 ZNF648_HDL rs1689804 1.489 -0.298 1.669 -5.63 34.0603072873932 6.1401023258496 7.74422202521985
